D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.58,0.892902737,0.899433192,0.905963647,,,,0.58,0.638643301,0.649965611,0.661287921,,,,0.58,0.176756548,0.185099227,0.193441907,,,,0.58,0.023135837,0.025200353,0.02726487,,,,0.58,0.003508561,0.004045468,0.004582375,,,,0.58,0.000200213,0.000267803,0.000335394,,,
0.59,0.895181334,0.901602535,0.908023735,,,,0.59,0.644095734,0.655293034,0.666490334,,,,0.59,0.181239985,0.189668891,0.198097798,,,,0.59,0.024157492,0.026287542,0.028417593,,,,0.59,0.003699655,0.004259962,0.00482027,,,,0.59,0.000213845,0.000285329,0.000356814,,,
0.6,0.897392824,0.903709156,0.910025487,,,,0.6,0.649442364,0.660516594,0.671590824,,,,0.6,0.185731921,0.194244354,0.202756788,,,,0.6,0.02520166,0.027397625,0.02959359,,,,0.6,0.003896981,0.004481156,0.00506533,,,,0.6,0.000228109,0.000303625,0.000379141,,,
0.61,0.899539826,0.905755459,0.911971091,,,,0.61,0.654685783,0.665638901,0.67659202,,,,0.61,0.190231235,0.198824536,0.207417838,,,,0.61,0.026268217,0.028530446,0.030792675,,,,0.61,0.00410059,0.004709092,0.005317594,,,,0.61,0.000243021,0.000322706,0.000402391,,,
0.62,0.901624824,0.907743728,0.913862631,,,,0.62,0.659828505,0.670662484,0.681496463,,,,0.62,0.194736846,0.203408397,0.212079948,,,,0.62,0.027357029,0.029685843,0.032014657,,,,0.62,0.004310529,0.004943813,0.005577096,,,,0.62,0.000258595,0.000342588,0.000426582,,,
0.63,0.903650187,0.909676136,0.915702085,,,,0.63,0.664872966,0.675589789,0.686306611,,,,0.63,0.199247707,0.207994932,0.216742156,,,,0.63,0.028467958,0.030863648,0.033259339,,,,0.63,0.004526842,0.005185355,0.005843867,,,,0.63,0.000274846,0.000363288,0.000451731,,,
0.64,0.905618167,0.911554751,0.917491335,,,,0.64,0.669821532,0.680423185,0.691024837,,,,0.64,0.203762808,0.212583172,0.221403537,,,,0.64,0.029600859,0.032063689,0.034526519,,,,0.64,0.004749571,0.005433754,0.006117936,,,,0.64,0.000291788,0.000384821,0.000477854,,,
0.65,0.90753091,0.913381542,0.919232174,,,,0.65,0.674676497,0.685164968,0.695653439,,,,0.65,0.208281173,0.217172185,0.226063198,,,,0.65,0.030755581,0.033285786,0.035815991,,,,0.65,0.004978757,0.005689043,0.00639933,,,,0.65,0.000309436,0.000407202,0.000504968,,,
0.66,0.909390462,0.915158386,0.92092631,,,,0.66,0.679440087,0.689817362,0.700194637,,,,0.66,0.212801858,0.22176107,0.230720283,,,,0.66,0.031931968,0.034529756,0.037127545,,,,0.66,0.005214436,0.005951254,0.006688072,,,,0.66,0.000327805,0.000430447,0.00053309,,,
0.67,0.911198775,0.916887073,0.922575372,,,,0.67,0.684114465,0.694382524,0.704650583,,,,0.67,0.217323951,0.226348959,0.235373966,,,,0.67,0.033129858,0.035795412,0.038460965,,,,0.67,0.005456644,0.006220413,0.006984183,,,,0.67,0.000346907,0.000454571,0.000562235,,,
0.68,0.912957708,0.91856931,0.924180912,,,,0.68,0.688701729,0.698862542,0.709023356,,,,0.68,0.221846574,0.230935014,0.240023454,,,,0.68,0.034349085,0.037082559,0.039816034,,,,0.68,0.005705413,0.006496547,0.007287681,,,,0.68,0.000366759,0.000479588,0.000592418,,,
0.69,0.91466904,0.920206728,0.925744416,,,,0.69,0.693203917,0.703259444,0.713314972,,,,0.69,0.226368874,0.235518428,0.244667982,,,,0.69,0.035589477,0.038391003,0.041192529,,,,0.69,0.005960773,0.006779678,0.007598584,,,,0.69,0.000387372,0.000505514,0.000623656,,,
